"Path","Hash","Length","LastWrite"
".env.local","1B54F60FB3299742F17C66CEA53121082CF8C377D56B45E412CBFFC741B97B21","713","2025-11-12 14:13:56"
".gitignore","207E265FF4901F9AD9F96D8CE08530E04F9FC600815472A66D0A446096D654CD","480","2025-11-04 22:40:34"
"_changed_since.txt","233BC5083CE1247430C27D89487598EE2AB9324DE8B92A42414201C1732C7467","1910","2025-11-12 20:01:49"
"_git_status.txt","A14B655D77B7C0ED3C35EF0560766A0ED9700632B02FC1679B6F02B5F9D83FD1","448","2025-11-12 20:01:49"
"_hashes.csv","D5BFA6A26FADF6E360605214A173489F33A135C5A800F0EDD7492BEE61788A8E","13295","2025-11-12 20:01:49"
"_tree.txt","3D351A3726501B9C617570976C5F7DC865185539314668B43095A92424FBC131","4581","2025-11-12 21:58:32"
"app\admin\interior\page.tsx","4F997EA4C93F684E825F5B66691B6C3198B6D9C482932A376A46C21340DB5473","24480","2025-11-12 13:23:30"
"app\api\banners\route.ts","57E815B62764DE99588C9B3AE78819CE581779D8FAB3A131B8D27C81E4213FB6","902","2025-11-12 14:05:18"
"app\api\interior\catalog\route.ts","C385490FA215098E28C9CBDE7A8D73D3E63DE05C783270AF67103980286B0963","2819","2025-11-07 16:29:37"
"app\api\interior\products\route.ts","19A5FEF3396611C925391FF39F2265AA191ABA4068BCA873B4E2F41F8B635ED1","4835","2025-11-12 13:36:04"
"app\api\interior\rfq\route.ts","FFC1FEB62B542570226AA50B470BD42FE0A6D466C07F5CDFE9F2D2CCDB239042","3225","2025-11-07 14:14:03"
"app\api\kftc\brand\route.ts","C10262FF848F9EC3F2F9ACDD74E059199ECADC1F2BF1242B22419C846CEFEF2F","2520","2025-11-11 23:14:47"
"app\api\market365\insights\route.ts","C87C03071DD3EBA20D33FA8AC26840E39258E2A923C7A7518460B11AF9BC8A85","4618","2025-11-12 21:55:40"
"app\api\market365\metrics\route.ts","8C63B1702D734AE09E1BF175CF2A4610D2B3207549AF837147C5E9F721C1ACAE","2416","2025-11-11 23:08:21"
"app\api\status\route.ts","43F94D32BC9E28F71E2D13CE3F2B2E1F10D2DB0E1E94244D09E2E43D39307B33","711","2025-11-11 23:00:21"
"app\cases\[id]\page.tsx",,"3103","2025-11-11 16:48:48"
"app\cases\page.tsx","31D547C86CAA965867CC94E956021540145D8F621F882249BC3652AB6E6F5CE4","3710","2025-11-11 16:47:17"
"app\dev\m365\page.tsx","D1B24D8B97A9AF5955A67BC0E66F9590CB4849BA7420473816840F39B7AEE7F4","6702","2025-11-11 23:21:32"
"app\franchise\brand\[id]\inquiry\page.tsx",,"2351","2025-11-09 12:50:19"
"app\franchise\brand\[id]\page.tsx",,"11104","2025-11-11 23:29:28"
"app\franchise\explore\ExploreClient.tsx","3F16AEB9DB90153CABFF5478BD18F31C3690EE0F9E829871DC8497753E167DA1","5452","2025-11-08 16:54:59"
"app\franchise\explore\layout.tsx","860BF53EBFB751783A431779052AB095C777BC8897BD377506A5304C280312D6","540","2025-11-10 18:05:02"
"app\franchise\explore\page.tsx","5B5D8640FADAAACB3C8174BE13F8038C0FA9EFE652AE6944919C450242DBDD41","7301","2025-11-12 09:33:51"
"app\globals.css","F09049FEEA1024D0FABE4DF734F2418D4A713967FBF1098BCA2D2F14BBEEC329","27","2025-11-06 19:47:14"
"app\interior\catalog\route.ts","644C42A39B38C56F03138443AAC7C8ED015C73B6685F7F00567DB969998A7E5E","3431","2025-11-07 13:45:19"
"app\interior\contact\page.tsx","5FC6BF4A7AA8F633790C36DD878F1656FB60C294B49D9E0B8E1B3E37441D3EAA","9523","2025-11-12 13:46:55"
"app\interior\layout.tsx","6522329FAC4A7AFC8AFCBAE7C039DFB1C6FFDB0FB01C35BC3E4AD4C59EF6D58D","156","2025-11-12 13:02:24"
"app\interior\page.tsx","CE4850A6EC6F73093015A06CAFD941D8182290CE1229091D50D49157C35A0906","26379","2025-11-12 13:02:50"
"app\interior\shop\page.tsx","6F281739D423F97FF5C963989398855645050D1D47D115B993479073C51B3E0B","11434","2025-11-12 13:17:07"
"app\layout.tsx","79AEE6B4E1197B8E81B5D758BC3BD1DAE3DCD8DAC45DD24C3A487C7FB100C1E4","2779","2025-11-11 14:39:33"
"app\market\layout.tsx","84E7DCA1FC1AC2F9A66D465A374DB871346D92771F6AB52EFB898F71F3B02679","512","2025-11-08 16:10:54"
"app\market\page.tsx","508E87DB7C73866B0D061F6D704B0759EF331EAB35D547416C8F8F644A32D312","11992","2025-11-12 13:59:34"
"app\mbti\layout.tsx","B43FE0B707E299F2A6261067D15EA9E8ED644276A1BFCAB280D75396ADA9DF6E","524","2025-11-10 18:11:12"
"app\mbti\page.tsx","978C374F1004E3EEAE38E0C497C591F8D74AE021DF0D01CD99EFD75C80BF5C50","10971","2025-11-06 21:53:10"
"app\page.tsx","E9B16703472978BA0048E4E060F210F324108C2C1D0B7EA26E055B3B9A9A096C","9228","2025-11-11 16:46:42"
"data\interior\products.json","385674383A3A41D1DBA1E21C20794CE2E9CBAA7BF361F1D6D9BBAEC5BE52D920","2123","2025-11-12 13:35:27"
"e2e\franchiseBrandDetail.spec.ts","F9E5DBB0116364666DF1F05F79619106E1F990CBE72C253116FFCB4E4C1892F7","2891","2025-11-12 09:45:37"
"e2e\franchiseExplore.spec.ts","6225C9B98A5965073CEC7CD10386E197A70B930FCCEDBB490BC9BD47A7F9376E","3217","2025-11-12 10:01:56"
"e2e\market.spec.ts","34C10AB25A5D943292B5ADB8B4401C30179822E674E3E58A588E13BDE556548F","1973","2025-11-12 16:48:47"
"eslint.config.mjs","870F1ADCCECF3051CBCD9FD307CEF51D7633CF510979C181A81F4B1797273493","465","2025-11-04 22:40:34"
"next.config.ts","614BCE25B089C3F19B1E17A6346C74B858034040154C6621E7D35303004767CC","133","2025-11-04 22:40:34"
"next-env.d.ts","7AD303E40D4FDDF44F156129E397511953A71481C5CFD86B1862649AAAF240CC","251","2025-11-11 13:41:11"
"package.json","BB6A3F99472475D2F188BD0D4A1F3A14E867C61CBD0F1C420DB480EE5CEDE64E","1234","2025-11-10 13:15:30"
"package-lock.json","47DD2AED520681086D1EA73033AE829F8F43453DC6863D2C97F58D25B6717B65","236355","2025-11-10 17:42:03"
"playwright.config.ts","B34675D7E5F880E16A56A3553C4437C716CC107151D5032CB0C2B4E5552536DA","461","2025-11-10 14:19:34"
"postcss.config.js","DA323E9DDE0EB5BAFD0E855EA075DE52BFEACF81E77890A19264F648840E8200","66","2025-11-06 19:47:14"
"postcss.config.mjs","DFAC7AC2D86D326A0E5ADB024E7943C181393ED17A5FCB8F0315B24C7DA6DDDE","94","2025-11-04 22:40:34"
"public\file.svg","2B67812C325C199A02536CDBEEA0C593A72F707D323B72EE3E08DBAB06753BD4","391","2025-11-04 22:40:34"
"public\globe.svg","B614B9BF183925957661AC851498FE1D8029FD43A62FBFED86F9E2624A57E7CF","1035","2025-11-04 22:40:34"
"public\next.svg","55995DFAD6ECB4945A1E856DDCA03C5E16AA5BF13FD21B4DF6A74AE79357BCFC","1375","2025-11-04 22:40:34"
"public\vercel.svg","F081337B2FEE635B455B63275406A3E7F39D6A014E25AD90DAB5A67E62A12AC4","128","2025-11-04 22:40:34"
"public\window.svg","644768C4AAEB4767BCE293344EEB0C125FB804A94D801440424072202D85E3A1","385","2025-11-04 22:40:34"
"README.md","60B55FF7DF79AF72590F9524208E46642BC32BDC175CDAD41349681C0E2F958F","1450","2025-11-04 22:40:34"
"scripts\clean-dev.ps1","647A472E7A8E4247D2FE8B6B9B7157CDED64D39469CE1254B3840F42D02EB257","1088","2025-11-10 11:18:30"
"scripts\predev.mjs","C98E0688AE002BDDE131567E457EF154F65ED3638A84CD0E4EA0A80D919CF165","1421","2025-11-10 14:18:02"
"scripts\run-e2e.bak","1E51F82CB3CC1C438196B075A31A95BECEA86C8158E54F0FC51B9CC65FE8ECA1","1908","2025-11-09 20:16:18"
"scripts\run-e2e.mjs","8FA00A68B033195ABA2C66F9C8E255D42448373526F6740AD910E7ABC2213793","3000","2025-11-11 13:34:27"
"scripts\snap-tree.ps1","5ADDB1A32D1B71C2C33DD6A0BB09A1654E002F6A5AC8477883A6F32EC303D678","2232","2025-11-12 19:57:00"
"scripts\sr-verify.ps1","F259B97FFE9F38D6CF082F5C93E2E19E5955FDBE5A465AD533793C664A1B8177","2452","2025-11-12 21:14:57"
"scripts\sr-verify.ps1.bak","CF3824E8A0F6D485C6958F537F0B92A7613FFF0755344D2E502483BB08125BB3","3399","2025-11-12 20:54:20"
"snapshots\hashes_baseline.csv","D5BFA6A26FADF6E360605214A173489F33A135C5A800F0EDD7492BEE61788A8E","13295","2025-11-12 20:01:49"
"src\app\api\market365\metrics\route.ts","8C63B1702D734AE09E1BF175CF2A4610D2B3207549AF837147C5E9F721C1ACAE","2416","2025-11-11 23:08:21"
"src\app\diagnostics\page.tsx","660BBA6D4D4DD32EAE915C14B05137FE4E4167D0F8751EFBBAE5CB30C1B17CA3","1217","2025-11-05 16:39:02"
"src\app\favicon.ico","2B8AD2D33455A8F736FC3A8EBF8F0BDEA8848AD4C0DB48A2833BD0F9CD775932","25931","2025-11-04 22:40:34"
"src\app\franchise\analysis\page.tsx","1C9943FD3AF6072E9303BB9ECADDCF3566A357625EEC5249D085D675961ACC2A","451","2025-11-05 17:10:44"
"src\app\globals.css","769EDF77BD0D101A2D26E6C5656DEFBA8CD885FF37D92279FA293A2756FE5651","488","2025-11-04 22:40:34"
"src\app\layout.tsx","015C9F02A416CE38988384BB04B73B8C67AAC1C34840939F39941403608EBE20","320","2025-11-05 16:40:10"
"src\app\market\FilterBar.tsx","8F41DF7119D43E7780FD06D9123E3B1CAB69DE32148C598484AEB1FA72C246DE","2263","2025-11-06 13:36:27"
"src\app\market\MarketClient.tsx","550DB07597E4836E8758C54B65BD4A31A41A6292ABCDE6A76F68B1CE64B43D54","10913","2025-11-12 18:36:48"
"src\app\market\page.tsx","AF664B01183CE9CB7B87ED35DEB5448CC59B02CA7904090B6A3305028FD123CB","802","2025-11-06 15:58:37"
"src\app\mbti\page.tsx","7CC14CC26E3F0539DF94605CDE5D55FD56FAFCD3118CCEA4B8BD81934EBB1179","362","2025-11-05 17:11:14"
"src\app\page.tsx","54CFDB1174C3B81046470A867A760BEE44BF2B75527504A3D8B10F24CE856A23","2885","2025-11-05 14:20:38"
"src\components\BannerStrip.tsx","2EC1BD75089430D1B3C00A112219A832B4E8FF6B6D397D78290B4997E23E4A7F","1933","2025-11-12 14:11:58"
"src\components\BrandGrid.tsx","632154F176B0DA1E7C70B5640D19360D16A2B5AC31548722C095C1ED3D842C7D","3754","2025-11-08 17:32:03"
"src\components\BrandList.tsx","CBF25389F20A82581C45DCC500F9ED1888753E3DD0BA9A4BAB54BCA65874B40E","2406","2025-11-12 09:20:31"
"src\components\BrandRecommendations.tsx","1FEE6349DF4CF527BD92D34BDBDA04AD743A2A5E9920582071BBDCD7FCEBD743","8380","2025-11-11 22:16:06"
"src\components\ExploreControls.tsx","128809C3B32717B94389D87FE95B7C80B764BD64390D18DA25FAF8FD79522337","1944","2025-11-09 13:17:30"
"src\components\FilterBar.tsx","8F41DF7119D43E7780FD06D9123E3B1CAB69DE32148C598484AEB1FA72C246DE","2263","2025-11-06 13:30:16"
"src\components\KpiCard.tsx","C18B066EAA6939CC8F3468308E844DE2A085AF99EC0164EA27C20C5D39327502","1023","2025-11-06 13:22:44"
"src\components\RegionPicker.tsx","ECB01E0EEDA5EB065F214625544A7A105C0F7C0AFDEF1048377BDFD9EC442B95","10884","2025-11-12 16:31:22"
"src\components\RollingBanner.tsx","E0AEFBF73C32CF3D48909EE090741AA2A54C16550A6D6363D07674BDF6411F35","2302","2025-11-06 16:15:23"
"src\components\Sparkline.tsx","B6E2660358882FFAAC886C5EC223D4B958C2DEC440E61BFEFC075DA6F5C955D7","4162","2025-11-11 21:10:21"
"src\components\SuccessCasesGrid.tsx","C08472EC391EA96DCDC865C5E5FA3E0A34F8499619CEF49F6ABEEF56FCFA4196","5426","2025-11-11 15:42:58"
"src\lib\api.ts","F926CFCC7FB3B393A3566B91473AB4B34C696F6C40A4DFECA46317226FE8B0AE","5583","2025-11-11 22:45:38"
"src\lib\banners.ts","058EAB8E7F4B12D616D9EADDE756A5240F148AAE02D966E641A1132148B04E52","942","2025-11-05 17:41:05"
"src\lib\brands.ts","348964A81AD8876672EFC91568044876193AC3CD00A6AE360CCE2BC404C1A60B","7574","2025-11-09 16:28:04"
"src\lib\cases.ts","6B1D07E3D75E4A97F60ED83B21D7C969CDB60FAD60464D0565ECB020A9F6A78D","4271","2025-11-11 16:46:12"
"src\lib\categories.ts","045543EF5B221B9EAC5D20C540F07BB9C599128207F53EEF08F633250020036B","1649","2025-11-08 17:20:28"
"src\lib\disclosure.ts","5E38735123E837A5FF25F7212D18A0D9DB71C44D3711ACEB401D8B124C7BC0DD","4840","2025-11-11 20:03:09"
"src\lib\franchise-api.ts","6183448E3090BAFA21FF9933834D87536259CC576E9720B32F9625E7A04C115C","11357","2025-11-11 14:22:34"
"src\lib\interior.ts","725030E502D207004A7DB8D695C3C9791A20B83A827F095C6C22103B93D3A706","4470","2025-11-07 13:22:28"
"src\lib\m365.ts","D03D905E407D96943888B4BA6FFB24776B5A7C780938B5452CD4FBF90D92D17F","5305","2025-11-11 20:10:04"
"src\lib\market.ts","D30244E3A5191BE5A0A01A99D9B92D029C0D4669B07C2BFC77E8376032236A58","1950","2025-11-06 13:19:57"
"src\lib\mbti.ts","A9ABFA54C7F5CE0A6A284D8B1064B01934ABCA9A65CA330AFCB9DFCEA7554C58","5439","2025-11-06 21:24:00"
"src\lib\reco.safe.ts","3511313EDC6E8AECF3086DD50955480389D3327F053663B529018A1E08461369","1892","2025-11-09 13:23:26"
"src\lib\reco.ts","3F83D24BE6D4AB9EC2D36A9EECD0B998A9F1BC14043DC43499E6C3158F42B153","4702","2025-11-06 21:45:40"
"src\lib\safeFetch.ts","0D4DB309C47EFA60A2CCDB555E03C9342B15CFD73B27F227172FC11180540605","749","2025-11-05 17:23:30"
"src\lib\server-url.ts","A2FAF912B5A4ABF8E6618689C950FAC4B2B7BB11D9F112EBC2223DE43D996F73","2532","2025-11-09 17:06:20"
"src\lib\supabase.ts","0178075B78B298B2544D32B76EFB506571AF9420052FE4457A0B7C5763DF5339","484","2025-11-05 17:44:21"
"tailwind.config.ts.bak","E7EDBE0BA708EC5D845909085A55459CBB5C4EB1DCE3EA706F001949B54D7ED2","305","2025-11-06 18:11:26"
"test-results\.last-run.json","B0F408584BAC3E9E629FD9CB5A47E01745D8A766D806A93DEFC52D0811FD8D4C","194","2025-11-12 18:23:08"
"test-results\market-상권분석-마켓-기본-플로우-URL-파라미터-→-화면-반영-KPI-렌더-chromium\error-context.md","44AFA9E1CC9B3316C147D4447072B886D622133B2CB9D71AE9C33D7DC042CAA1","3718","2025-11-12 18:22:34"
"test-results\market-상권분석-마켓-기본-플로우-URL-파라미터-→-화면-반영-KPI-렌더-chromium\trace.zip","BC8269DBC7242D5FAC56D9EAF087053F05C45A13A96569FBEDD5B76ACA47AC6A","728305","2025-11-12 18:22:34"
"test-results\market-상권분석-마켓-기본-플로우-업종-변경-↔-URL-동기화-요청-URL-새-탭-확인-chromium\error-context.md","F83CB078012F7AED5CAAF8220E082D4426F10538907BC6E6127F1A2B6452CF00","3718","2025-11-12 18:23:08"
"test-results\market-상권분석-마켓-기본-플로우-업종-변경-↔-URL-동기화-요청-URL-새-탭-확인-chromium\trace.zip","6B9470E4E036772335FBE85DEEE134558A4BBDAFFEECD74A54E7C27B5C182E3D","224282","2025-11-12 18:23:08"
"test-results\market-상권분석-마켓-기본-플로우-지표-조회-→-하단-코드-지표-갱신-chromium\error-context.md","5898189F84538D4C944CEEDB17C63475C646A9E6D94F182F79697E30F10F45EA","3718","2025-11-12 18:23:05"
"test-results\market-상권분석-마켓-기본-플로우-지표-조회-→-하단-코드-지표-갱신-chromium\trace.zip","232B39AD1D1B7F89418E6CBBDD74FE5F0A4FAC59DAC1B41FE7C3C9790CA6266B","786853","2025-11-12 18:23:06"
"tsconfig.json","26B17A47586790B5642F0254EC6799DCE77798882CCFE4F03966FDE8C3EA14C5","750","2025-11-08 17:13:19"
"tsconfig.tsbuildinfo","8060DA0CFC1FD1D15FDB50B143FB7B939229FCAD1EC3CA801AA5756020ACDBEA","109236","2025-11-09 21:10:26"
